Bandwith	Mi a2 Lite	Hts 820	Huawei p20 lite	Redmi Note 7						
Half1	1.27	0.292	1.797	3.566						
Half2	1.782	0.888	1.657	4.984						
Half4	2.041	1.358	1.491	5.18						
Half8	2.225	1.523	1.777	4.332						
Half16	1.886	1.369	1.812	4.07						
Int1	1.914	0.906	1.676	4.904						
Int2	2.498	1.369	1.514	5.148						
Int4	2.566	1.738	1.525	4.976						
Int8	2.173	1.699	1.522	4.879						
Int16	2.075	1.446	1.667	4.932						
Float1	2.029	0.906	1.675	4.938						
Floa2	2.495	1.365	1.468	5.113						
Float4	2.569	1.734	1.493	5.028						
Float8	2.167	1.702	1.542	4.83						
Float16	2.079	1.443	1.654	4.926						
Dobule1	N/A	N/A	1.466	N/A						
Double2	N/A	N/A	1.529	N/A						
Double4	N/A	N/A	1.49	N/A						
Double8	N/A	N/A	1.673	N/A						
Double16	N/A	N/A	1.524	N/A						
										
										
Flops										
Half1	51.13	22.17	53.24	111.153						
Half2	67.01	22.27	56.62	128.633						
Half4	74.04	30.45	56.41	139.197						
Half8	39.93	31.96	55.57	144.55						
Half16	39.93	32.6	53.49	146.058						
Int1	9.78	6.57	26.84	18.3909						
Int2	10.09	6.98	28.5	18.7966						
Int4	10.2	8.17	28.13	19.0126						
Int8	9.77	7.78	27.6	18.7055						
Int16	9.08	7.5	16.13	17.983						
Float1	31.67	22.07	26.84	64.6405						
Floa2	37.46	23.08	28.5	70.0496						
Float4	39	30.37	28.27	72.9928						
Float8	39.84	31.97	28.1	74.2025						
Float16	39.94	32.57	16.59	74.2025						
Dobule1	N/A	N/A	7.15	N/A						
Double2	N/A	N/A	14.25	N/A						
Double4	N/A	N/A	14.09	N/A						
Double8	N/A	N/A	8.36	N/A						
Double16	N/A	N/A	3.03	N/A						
	N/A	N/A		N/A						
Latency	239.38	98.55	135.12	91.37						
										
EnqueueRead	1.95	1.21	1.45	5.015						
EnqueueWrite	1.75	1.84	1.14	542.173						
Map	544.19	1124.78	5.1	501.083						
Unmap	666.25	595.54	5.2	1029.803						
										
OCLOGL										
Media	26	20	27	29						
Host konwersja	16	7	20	25						
Ocl konwersja	25	20	20	30						
Image konwersja	26	20	N/a	30						
RgbMax	25	20	N/a	30						
GrayScale	25	20	N/a	29						
AvgFilter	11	9	N/a	22						
macierz 1024x1024 w sekundach										
Matrix Mul A2 Lite			Matrix Mul HTC 820			Matrix Mul Huawei p20 lite			Matrix Mul Redmi 7	
1024x1	2.114		1024x1	4.715		256x1	1.786		1024x1	0.687
512x2	2.123		512x2	4.715		128x2	1.467		512x2	0.742
256x4	2.11		256x4	4.713		64x4	1.298		256x4	0.701
128x8	2.105		128x8	4.742		32x8	1.442		128x8	0.848
64x16	2.095		64x16	4.665		16x16	1.135		64x16	0.8
32x32	2.068		32x32	4.403		32x8	1.13		32x32	0.812
16x64	2.157		16x64	9.307		64x4	1.152		16x64	0.721
8x128	2.164		8x128	9.457		128x2	2.37		8x128	0.71
4x256	2.596		4x256	10.388		256x1	4.099		4x256	0.759
2x512	11.559		2x512	16.856					2x512	1.004
1x1024	27.598		1x1024	30.172					1x1024	2.499
									nullptr	0.68871

